dr_raw,dr_scaled_1e3,median,mean,std,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10
0.0,0.0,583.5,585.0,38.704004960727254,557,608,535,543,627,559,640,544,621,616
0.00020408163265306123,0.20408163265306123,608.5,605.3,62.57643326364966,512,606,660,559,741,616,611,566,542,640
0.00040816326530612246,0.40816326530612246,659.5,649.7,58.103442238820925,550,713,724,593,719,651,677,668,616,586
0.0006122448979591836,0.6122448979591837,634.5,645.9,48.233701910593595,568,631,654,636,624,627,634,685,765,635
0.0008163265306122449,0.8163265306122449,693.5,682.4,59.42423747933161,556,721,754,623,689,698,766,703,647,667
0.0010204081632653062,1.0204081632653061,659.5,686.1,86.90736447505469,571,728,874,671,600,648,791,630,703,645
0.0012244897959183673,1.2244897959183674,673.5,711.5,81.5699086673511,656,819,844,672,668,780,589,636,776,675
0.0014285714285714286,1.4285714285714286,749.0,770.3,54.57481103952628,835,697,773,752,802,746,738,891,727,742
0.0016326530612244899,1.6326530612244898,785.0,794.7,118.53105078417215,766,666,804,869,983,702,813,997,636,711
0.001836734693877551,1.8367346938775508,833.5,838.5,133.11217074332458,785,1021,1073,843,922,741,615,860,824,701
0.0020408163265306124,2.0408163265306123,896.0,926.0,113.00884921102418,961,1053,795,793,851,932,860,1118,831,1066
0.0022448979591836735,2.2448979591836733,1046.0,1020.0,137.91809163412898,1052,1076,982,821,1248,1040,1110,764,962,1145
0.0024489795918367346,2.4489795918367347,997.5,1003.7,143.6064413597106,1233,941,750,1008,1221,854,915,1076,1052,987
0.002653061224489796,2.653061224489796,1058.0,1076.2,119.01243632494884,1024,1092,1016,1340,998,1127,1127,963,899,1176
0.002857142857142857,2.857142857142857,1361.5,1377.4,193.96659506213948,1409,1076,1360,1812,1311,1373,1582,1363,1163,1325
0.003061224489795918,3.061224489795918,1396.0,1479.8,337.027239255227,1335,1886,1332,1477,1432,1360,2059,1873,1055,989
0.0032653061224489797,3.2653061224489797,1497.5,1701.3,650.8586712950823,1249,1632,2058,928,1797,1410,3456,1495,1500,1488
0.0034693877551020408,3.4693877551020407,2132.0,2415.0,877.2928815395688,3009,1683,2069,1825,2146,2556,2118,1115,4340,3289
0.003673469387755102,3.6734693877551017,4208.0,5324.7,2599.8928074057208,3762,6671,3881,9417,3381,2631,2423,4535,6396,10150
0.0038775510204081634,3.8775510204081636,40344.5,39069.0,17212.419353478464,18627,59117,40934,62239,25735,39755,16398,53006,18588,56291
0.004081632653061225,4.081632653061225,5248.5,5338.9,975.3684893413359,5845,4207,4524,7678,5347,5003,5724,5746,5150,4165
0.004285714285714286,4.285714285714286,2912.0,2919.1,495.316959128193,3242,3054,3071,2060,3927,2557,2635,2770,2538,3337
0.004489795918367347,4.489795918367347,2170.0,2223.0,354.8036076479494,2784,1527,2613,2051,1933,2405,2058,2282,2042,2535
0.004693877551020408,4.6938775510204085,1972.5,2036.6,248.378018351061,2006,2272,1939,1847,1637,1824,2165,2542,2202,1932
