dr_raw,dr_scaled_1e3,median,mean,std,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10
0.0,0.0,437.0,443.3,47.354091692270906,415,465,510,395,446,539,442,432,407,382
0.00012244897959183673,0.12244897959183673,467.0,480.3,67.87937831182604,496,456,536,456,460,530,474,624,386,385
0.00024489795918367346,0.24489795918367346,456.0,464.1,57.949029327504704,377,441,528,405,514,537,454,393,458,534
0.0003673469387755102,0.36734693877551017,525.0,522.5,75.59530408696033,480,620,591,541,416,535,646,424,457,515
0.0004897959183673469,0.4897959183673469,526.0,515.0,67.25473960993381,394,568,451,614,535,600,496,522,530,440
0.0006122448979591836,0.6122448979591837,507.5,508.7,44.65433909487408,518,497,442,533,483,595,538,489,446,546
0.0007346938775510204,0.7346938775510203,543.5,545.0,67.78937969918296,450,606,529,512,609,418,627,558,612,529
0.0008571428571428571,0.8571428571428571,506.5,519.5,90.6887534372372,418,414,503,551,510,436,620,586,703,454
0.0009795918367346938,0.9795918367346939,586.5,581.7,95.74241484316134,401,600,558,724,513,702,472,573,652,622
0.0011020408163265306,1.1020408163265305,642.5,659.7,92.11519961439589,593,636,556,531,639,705,646,773,852,666
0.0012244897959183673,1.2244897959183674,535.0,563.4,84.492839933334,525,581,631,528,542,450,526,729,665,457
0.001346938775510204,1.346938775510204,659.5,665.2,100.89876114204773,534,662,682,572,831,758,653,657,791,512
0.0014693877551020407,1.4693877551020407,695.0,653.9,107.78446084663595,464,687,703,729,778,687,583,740,457,711
0.0015918367346938775,1.5918367346938775,758.0,786.7,166.03496619688278,607,679,776,797,740,928,1167,597,908,668
0.0017142857142857142,1.7142857142857142,740.5,753.1,86.1422660486709,653,701,844,647,798,780,905,675,834,694
0.001836734693877551,1.8367346938775508,887.5,900.7,111.4800879081103,1078,863,860,785,941,791,757,915,1105,912
0.0019591836734693877,1.9591836734693877,1055.5,1177.4,340.64650299100384,1560,1468,1688,816,999,1076,696,1565,1035,871
0.0020816326530612244,2.0816326530612246,1020.5,1283.0,554.7323679036585,1050,955,1003,1728,1905,939,1038,930,2561,721
0.002204081632653061,2.204081632653061,1456.5,1540.2,485.30192663948907,1096,1164,1396,1866,926,1517,1697,1391,2749,1600
0.002326530612244898,2.326530612244898,3127.5,3085.0,1018.2142210753099,1615,2249,2682,3573,4343,3889,4479,2016,2059,3945
0.0024489795918367346,2.4489795918367347,18679.5,24853.8,25707.206471337955,100000,23491,21211,5165,14834,21535,16148,23629,10659,11866
0.0025714285714285713,2.571428571428571,2303.5,3800.5,3590.110534510045,2083,3859,4565,938,6837,13177,2524,1621,957,1444
0.002693877551020408,2.693877551020408,941.5,1048.6,312.2650156517697,823,791,1532,800,945,989,938,1031,877,1760
0.0028163265306122448,2.816326530612245,695.5,684.3,146.4438800360056,738,460,857,797,453,653,833,588,851,613
0.0029387755102040815,2.9387755102040813,501.0,531.5,138.12041847605298,728,404,465,566,537,436,424,375,558,822
0.003061224489795918,3.061224489795918,450.5,429.0,75.9025691264795,462,253,487,439,534,422,345,474,467,407
0.003183673469387755,3.183673469387755,385.5,380.3,53.21475359334101,310,326,411,324,412,438,394,478,377,333
0.0033061224489795917,3.3061224489795915,378.0,363.7,44.75723405216189,378,426,318,306,378,385,367,405,279,395
0.0034285714285714284,3.4285714285714284,299.0,312.9,46.36906296228123,262,383,240,301,297,285,372,364,286,339
0.003551020408163265,3.5510204081632653,289.0,301.4,45.30165559888512,305,266,404,265,248,333,322,265,333,273
0.003673469387755102,3.6734693877551017,277.5,284.1,33.06796032415668,247,300,278,321,351,277,271,303,250,243
0.0037959183673469386,3.7959183673469385,256.0,257.9,29.74037659479113,247,226,244,265,202,297,257,280,255,306
