dmu_raw,dmu_scaled_1e3,median,mean,std,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10
0.01,10.0,561.0,556.8,32.64291653636359,514,586,583,594,539,521,591,527,523,590
0.010217391304347826,10.217391304347826,553.0,559.0,46.62617290749907,589,603,554,642,524,518,508,552,494,606
0.010434782608695653,10.434782608695652,582.5,581.5,43.37107330929222,582,608,559,499,628,583,534,555,622,645
0.010652173913043479,10.652173913043478,591.5,588.0,29.866369046136157,593,590,600,607,550,564,544,595,654,583
0.010869565217391304,10.869565217391305,601.5,608.3,62.704146593347396,646,508,522,595,571,588,698,704,643,608
0.01108695652173913,11.086956521739129,629.5,635.8,43.41151920861559,674,613,556,632,680,586,627,706,664,620
0.011304347826086957,11.304347826086957,666.5,641.5,51.38725522928813,702,579,551,679,664,614,680,585,692,669
0.011521739130434782,11.521739130434783,648.0,638.0,66.71431630467332,666,726,642,555,553,739,546,654,686,613
0.011739130434782608,11.739130434782608,678.5,674.0,78.92274703784707,763,676,558,699,644,630,554,715,820,681
0.011956521739130435,11.956521739130435,700.0,701.7,36.56514734005594,733,705,668,725,671,695,749,688,632,751
0.01217391304347826,12.17391304347826,695.0,678.3,51.14890028143323,692,736,673,712,716,735,586,698,601,634
0.012391304347826086,12.391304347826086,732.5,726.1,75.37831253085996,757,756,752,597,710,890,658,662,766,713
0.012608695652173913,12.608695652173914,725.0,711.2,67.02506993655433,824,724,666,597,732,611,726,788,714,730
0.012826086956521739,12.826086956521738,765.5,748.9,68.95426020196287,776,779,777,683,898,645,755,784,675,717
0.013043478260869565,13.043478260869565,746.0,748.9,42.38266154927036,784,766,833,740,752,780,686,693,715,740
0.013260869565217392,13.260869565217392,803.0,782.8,77.90866447321504,601,787,896,802,728,817,720,829,844,804
0.013478260869565217,13.478260869565217,801.5,803.6,55.681594804746744,818,791,825,755,789,760,812,726,943,817
0.013695652173913043,13.695652173913043,814.0,817.8,67.66949090986277,836,800,781,749,949,812,841,696,816,898
0.01391304347826087,13.913043478260871,909.5,919.4,48.197925266550634,854,1014,870,905,914,980,904,870,942,941
0.014130434782608696,14.130434782608695,988.5,993.9,95.86912954648123,919,1107,836,968,1009,1066,1097,860,1109,968
0.014347826086956521,14.347826086956522,963.5,991.6,112.38345073897669,903,947,903,869,911,1242,980,983,1038,1140
0.014565217391304348,14.565217391304348,1030.5,1041.7,118.38500749672656,1302,1048,1013,956,1000,1071,994,817,1104,1112
0.014782608695652174,14.782608695652174,1136.0,1163.3,168.09048158655506,1105,1233,1257,1009,878,1186,1560,1134,1138,1133
0.015,15.0,1183.0,1181.0,153.10976454818288,1179,1187,1329,935,968,1364,1218,1422,1134,1074
0.015217391304347827,15.217391304347826,1341.0,1372.8,218.39496331188593,1604,1304,1802,1243,1285,932,1296,1432,1378,1452
0.015434782608695652,15.434782608695652,1511.5,1519.5,134.13444747714883,1487,1432,1634,1513,1732,1542,1375,1274,1696,1510
0.01565217391304348,15.65217391304348,1635.5,1602.6,201.90948467073065,2033,1273,1421,1685,1422,1495,1748,1656,1615,1678
0.015869565217391305,15.869565217391305,1859.5,1895.1,228.2136937170949,1881,2037,1744,1999,2422,1551,2007,1838,1783,1689
0.01608695652173913,16.08695652173913,2410.0,2491.1,387.79026547864765,2132,2426,2394,2035,2108,2165,2767,2635,3104,3145
0.016304347826086956,16.304347826086957,2696.0,2691.5,426.27250673718095,2995,2327,2210,2227,3042,3216,2496,3327,2896,2179
0.01652173913043478,16.52173913043478,7810.0,7473.7,2134.136267907933,9736,7869,10710,4739,6152,5072,9566,4483,8659,7751
0.016739130434782607,16.739130434782606,68185.5,66767.2,31919.24136253868,6580,100000,44064,63507,49997,100000,72864,30660,100000,100000
0.016956521739130436,16.956521739130437,100000.0,100000.0,0.0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
0.01717391304347826,17.17391304347826,28593.0,38230.7,27857.309586713505,11620,70716,27855,35365,10095,58039,27105,29331,12181,100000
0.017391304347826087,17.391304347826086,9123.5,9484.0,4632.250446597204,9810,4485,9284,8963,5656,11187,11568,21459,7329,5099
0.017608695652173913,17.608695652173914,4656.5,5628.9,2474.2323839930636,10088,5134,3679,8075,4179,2479,7487,3372,3597,8199
0.017826086956521738,17.82608695652174,4188.5,4028.8,1109.970792408521,2727,5996,4879,3765,4612,4647,3299,5028,2624,2711
0.018043478260869564,18.043478260869563,2795.5,3158.1,1440.446212116232,6199,1785,5237,1680,2771,2312,3358,3628,1791,2820
0.018260869565217393,18.260869565217394,2292.0,2628.5,1055.348023165818,4166,1310,2349,1820,1805,2396,4364,2235,3977,1863
0.01847826086956522,18.47826086956522,1645.5,1849.6,735.3347808991493,1958,1237,1940,1309,1351,2408,1006,1233,2643,3411
0.018695652173913044,18.695652173913043,1451.5,1576.8,347.52030156524665,1415,2073,1488,1339,1137,1791,1320,1304,2276,1625
0.01891304347826087,18.91304347826087,1498.0,1522.2,114.07348508746456,1662,1449,1636,1437,1635,1342,1394,1504,1492,1671
0.019130434782608695,19.130434782608695,1212.5,1320.3,212.62269399102252,1158,1586,1206,1227,1663,1219,1153,1674,1148,1169
0.01934782608695652,19.34782608695652,1218.5,1266.9,217.57823880158605,1853,1213,1217,1288,1359,1053,1220,1045,1288,1133
0.01956521739130435,19.565217391304348,1200.0,1264.4,357.8578488729848,1062,1427,2052,1119,1658,811,1268,825,1132,1290
0.019782608695652175,19.782608695652176,1050.0,1022.5,139.95802942310956,766,1028,1076,1072,1172,997,804,1076,1246,988
0.02,20.0,990.5,991.4,102.36229774677783,1043,888,973,1190,891,872,1008,908,1132,1009
0.020217391304347826,20.217391304347824,1081.5,1181.1,337.25552627051195,987,921,854,996,1702,1183,1167,1710,735,1556
0.02043478260869565,20.434782608695652,1015.0,1056.1,132.67060714415985,1157,906,1012,932,1245,948,1188,1249,906,1018
0.020652173913043477,20.652173913043477,913.0,952.0,169.78987013364488,1234,792,888,742,1248,1070,938,877,786,945
0.020869565217391306,20.869565217391305,861.5,856.3,66.93885269408193,829,966,838,715,902,929,869,860,863,792
0.02108695652173913,21.086956521739133,849.5,882.8,138.11864465017024,1244,941,873,860,742,839,735,838,805,951
0.021304347826086957,21.304347826086957,832.5,840.2,138.03825556707096,1114,846,742,725,833,1002,926,606,832,776
0.021521739130434783,21.52173913043478,708.0,720.3,102.26539003983703,671,581,635,713,703,588,845,751,818,898
0.021739130434782608,21.73913043478261,676.0,680.0,92.56889326334198,821,796,546,583,668,784,678,688,562,674
0.021956521739130434,21.956521739130434,724.5,739.2,93.20064377460062,726,670,935,656,856,723,657,729,807,633
0.02217391304347826,22.173913043478258,670.0,747.9,210.47871626366407,626,654,749,644,1355,655,696,685,811,604
0.022391304347826088,22.39130434782609,650.5,664.7,82.61725001475176,801,664,645,656,620,753,593,784,552,579
0.022608695652173914,22.608695652173914,680.0,700.1,83.35640347327852,718,730,624,667,604,875,611,812,692,668
0.02282608695652174,22.82608695652174,608.5,629.0,87.63675028205918,595,592,803,666,516,511,656,622,585,744
0.023043478260869565,23.043478260869566,620.0,628.5,72.82478973536415,690,780,552,688,633,657,607,533,583,562
0.02326086956521739,23.26086956521739,573.5,601.4,98.90419606872098,581,489,836,511,616,566,547,656,522,690
0.023478260869565216,23.478260869565215,561.0,578.2,86.44512710384548,595,505,497,468,701,673,601,527,711,504
0.023695652173913045,23.695652173913043,574.5,599.2,98.69832825331946,766,585,564,551,759,482,461,654,630,540
0.02391304347826087,23.91304347826087,554.0,566.2,64.4341524348695,532,499,717,553,526,565,558,555,505,652
0.024130434782608696,24.130434782608695,539.0,545.7,63.575231025927074,448,550,534,522,504,600,589,544,481,685
0.02434782608695652,24.34782608695652,610.0,609.3,96.16345459684776,813,584,606,614,684,480,672,489,636,515
0.024565217391304347,24.565217391304348,535.5,527.4,46.35989646235203,559,543,615,509,505,539,561,448,532,463
0.024782608695652172,24.782608695652172,535.5,523.6,46.08730844820513,443,561,564,589,464,556,525,546,477,511
0.025,25.0,517.0,515.7,54.9964544311722,501,478,537,493,533,579,537,464,417,618
