dmu,dr,n_reps,health_count,tumor_max_count,done_count,tumor_min_count,fraction
0.0001,0.0,10,2,0,8,0,0.8
0.0001,0.0015789473684210526,10,0,1,9,0,1.0
0.0001,0.003157894736842105,10,0,10,0,0,1.0
0.0001,0.004736842105263158,10,0,10,0,0,1.0
0.0001,0.00631578947368421,10,0,10,0,0,1.0
0.0001,0.007894736842105263,10,0,10,0,0,1.0
0.0001,0.009473684210526316,10,0,10,0,0,1.0
0.0001,0.011052631578947368,10,0,10,0,0,1.0
0.0001,0.01263157894736842,10,0,10,0,0,1.0
0.0001,0.014210526315789474,10,0,10,0,0,1.0
0.0001,0.015789473684210527,10,0,10,0,0,1.0
0.0001,0.017368421052631578,10,0,10,0,0,1.0
0.0001,0.018947368421052633,10,0,10,0,0,1.0
0.0001,0.020526315789473684,10,0,10,0,0,1.0
0.0001,0.022105263157894735,10,0,10,0,0,1.0
0.0001,0.02368421052631579,10,0,10,0,0,1.0
0.0001,0.02526315789473684,10,0,10,0,0,1.0
0.0001,0.026842105263157896,10,0,10,0,0,1.0
0.0001,0.028421052631578948,10,0,10,0,0,1.0
0.0001,0.03,10,0,10,0,0,1.0
0.0022,0.0,10,8,0,2,0,0.2
0.0022,0.0015789473684210526,10,0,10,0,0,1.0
0.0022,0.003157894736842105,10,0,10,0,0,1.0
0.0022,0.004736842105263158,10,0,10,0,0,1.0
0.0022,0.00631578947368421,10,0,10,0,0,1.0
0.0022,0.007894736842105263,10,0,10,0,0,1.0
0.0022,0.009473684210526316,10,0,10,0,0,1.0
0.0022,0.011052631578947368,10,0,10,0,0,1.0
0.0022,0.01263157894736842,10,0,10,0,0,1.0
0.0022,0.014210526315789474,10,0,10,0,0,1.0
0.0022,0.015789473684210527,10,0,10,0,0,1.0
0.0022,0.017368421052631578,10,0,10,0,0,1.0
0.0022,0.018947368421052633,10,0,10,0,0,1.0
0.0022,0.020526315789473684,10,0,10,0,0,1.0
0.0022,0.022105263157894735,10,0,10,0,0,1.0
0.0022,0.02368421052631579,10,0,10,0,0,1.0
0.0022,0.02526315789473684,10,0,10,0,0,1.0
0.0022,0.026842105263157896,10,0,10,0,0,1.0
0.0022,0.028421052631578948,10,0,10,0,0,1.0
0.0022,0.03,10,0,10,0,0,1.0
0.0043,0.0,10,10,0,0,0,0.0
0.0043,0.0015789473684210526,10,0,10,0,0,1.0
0.0043,0.003157894736842105,10,0,10,0,0,1.0
0.0043,0.004736842105263158,10,0,10,0,0,1.0
0.0043,0.00631578947368421,10,0,10,0,0,1.0
0.0043,0.007894736842105263,10,0,10,0,0,1.0
0.0043,0.009473684210526316,10,0,10,0,0,1.0
0.0043,0.011052631578947368,10,0,10,0,0,1.0
0.0043,0.01263157894736842,10,0,10,0,0,1.0
0.0043,0.014210526315789474,10,0,10,0,0,1.0
0.0043,0.015789473684210527,10,0,10,0,0,1.0
0.0043,0.017368421052631578,10,0,10,0,0,1.0
0.0043,0.018947368421052633,10,0,10,0,0,1.0
0.0043,0.020526315789473684,10,0,10,0,0,1.0
0.0043,0.022105263157894735,10,0,10,0,0,1.0
0.0043,0.02368421052631579,10,0,10,0,0,1.0
0.0043,0.02526315789473684,10,0,10,0,0,1.0
0.0043,0.026842105263157896,10,0,10,0,0,1.0
0.0043,0.028421052631578948,10,0,10,0,0,1.0
0.0043,0.03,10,0,10,0,0,1.0
0.0064,0.0,10,10,0,0,0,0.0
0.0064,0.0015789473684210526,10,1,9,0,0,0.9
0.0064,0.003157894736842105,10,0,10,0,0,1.0
0.0064,0.004736842105263158,10,0,10,0,0,1.0
0.0064,0.00631578947368421,10,0,10,0,0,1.0
0.0064,0.007894736842105263,10,0,10,0,0,1.0
0.0064,0.009473684210526316,10,0,10,0,0,1.0
0.0064,0.011052631578947368,10,0,10,0,0,1.0
0.0064,0.01263157894736842,10,0,10,0,0,1.0
0.0064,0.014210526315789474,10,0,10,0,0,1.0
0.0064,0.015789473684210527,10,0,10,0,0,1.0
0.0064,0.017368421052631578,10,0,10,0,0,1.0
0.0064,0.018947368421052633,10,0,10,0,0,1.0
0.0064,0.020526315789473684,10,0,10,0,0,1.0
0.0064,0.022105263157894735,10,0,10,0,0,1.0
0.0064,0.02368421052631579,10,0,10,0,0,1.0
0.0064,0.02526315789473684,10,0,10,0,0,1.0
0.0064,0.026842105263157896,10,0,10,0,0,1.0
0.0064,0.028421052631578948,10,0,10,0,0,1.0
0.0064,0.03,10,0,10,0,0,1.0
0.0085,0.0,10,10,0,0,0,0.0
0.0085,0.0015789473684210526,10,2,0,8,0,0.8
0.0085,0.003157894736842105,10,0,10,0,0,1.0
0.0085,0.004736842105263158,10,0,10,0,0,1.0
0.0085,0.00631578947368421,10,0,10,0,0,1.0
0.0085,0.007894736842105263,10,0,10,0,0,1.0
0.0085,0.009473684210526316,10,0,10,0,0,1.0
0.0085,0.011052631578947368,10,0,10,0,0,1.0
