rmax,stable_dmu
0.15,0.00012672927856445315
0.25,0.0037521269226074216
0.35,0.0050265091247558595
0.45,0.005602666595458984
0.55,0.005878538604736328
0.65,0.006088494293212891
0.75,0.006193472137451172
0.85,0.006291125946044922
0.95,0.0063082153625488285
