rmax,stable_dmu
0.25,0.0029519022521972663
0.35,0.004028508575439453
0.45,0.0045472814636230464
0.55,0.004799954376220704
0.65,0.004956196563720703
0.75,0.0050636130676269524
0.85,0.005127086456298828
0.95,0.005156381866455078
1.05,0.005193001129150391
0.19736842105263158,0.0016067546691894532
0.24473684210526317,0.002892090789794922
0.29210526315789476,0.003515838897705078
0.3394736842105263,0.003967476470947267
0.3868421052631579,0.004277519561767579
0.4342105263157895,0.00448624935913086
0.48157894736842105,0.0046534773254394545
0.5289473684210526,0.004786527313232421
0.5763157894736842,0.0048341323547363285
0.6236842105263158,0.0049281217956542965
0.6710526315789473,0.004968402984619142
0.718421052631579,0.005042862152099609
0.7657894736842106,0.005074598846435546
0.8131578947368421,0.0051185419616699215
0.8605263157894737,0.0051356309509277345
0.9078947368421053,0.005140513519287109
0.9552631578947368,0.005169808929443359
1.0026315789473683,0.005196663055419921
0.1683673469387755,0.00038855386352539066
0.186734693877551,0.0012552097473144531
0.20510204081632652,0.0018716340026855467
0.22346938775510203,0.002370876617431641
0.24183673469387756,0.0027993219909667974
0.2602040816326531,0.0030751871032714847
0.2785714285714286,0.0033400664367675783
0.2969387755102041,0.0036061664123535155
0.3153061224489796,0.0037953659362792965
0.3336734693877551,0.003906444366455078
0.3520408163265306,0.004066348480224609
0.3704081632653061,0.004190853973388673
0.38877551020408163,0.004308035614013673
0.40714285714285714,0.004354420013427734
0.42551020408163265,0.004450850738525391
0.44387755102040816,0.004525309906005859
0.46224489795918366,0.004570473663330079
