dmu,dr,n_reps,health_count,tumor_max_count,done_count,tumor_min_count,fraction
0.0001,0.0,10,10,0,0,0,0.0
0.0001,0.0012631578947368421,10,9,0,1,0,0.1
0.0001,0.0025263157894736842,10,10,0,0,0,0.0
0.0001,0.003789473684210526,10,4,0,6,0,0.6
0.0001,0.0050526315789473685,10,5,0,5,0,0.5
0.0001,0.00631578947368421,10,3,1,6,0,0.7
0.0001,0.007578947368421052,10,1,2,7,0,0.9
0.0001,0.008842105263157894,10,0,8,2,0,1.0
0.0001,0.010105263157894737,10,1,9,0,0,0.9
0.0001,0.01136842105263158,10,0,10,0,0,1.0
0.0001,0.01263157894736842,10,0,10,0,0,1.0
0.0001,0.013894736842105264,10,0,10,0,0,1.0
0.0001,0.015157894736842105,10,0,10,0,0,1.0
0.0001,0.016421052631578947,10,0,10,0,0,1.0
0.0001,0.01768421052631579,10,0,10,0,0,1.0
0.0001,0.018947368421052633,10,0,10,0,0,1.0
0.0001,0.020210526315789474,10,0,10,0,0,1.0
0.0001,0.021473684210526315,10,0,10,0,0,1.0
0.0001,0.02273684210526316,10,0,10,0,0,1.0
0.0001,0.024,10,0,10,0,0,1.0
0.0016736842105263157,0.0,10,10,0,0,0,0.0
0.0016736842105263157,0.0012631578947368421,10,9,0,1,0,0.1
0.0016736842105263157,0.0025263157894736842,10,3,6,1,0,0.7
0.0016736842105263157,0.003789473684210526,10,2,8,0,0,0.8
0.0016736842105263157,0.0050526315789473685,10,3,7,0,0,0.7
0.0016736842105263157,0.00631578947368421,10,0,10,0,0,1.0
0.0016736842105263157,0.007578947368421052,10,0,10,0,0,1.0
0.0016736842105263157,0.008842105263157894,10,0,10,0,0,1.0
0.0016736842105263157,0.010105263157894737,10,0,10,0,0,1.0
0.0016736842105263157,0.01136842105263158,10,0,10,0,0,1.0
0.0016736842105263157,0.01263157894736842,10,0,10,0,0,1.0
0.0016736842105263157,0.013894736842105264,10,0,10,0,0,1.0
0.0016736842105263157,0.015157894736842105,10,0,10,0,0,1.0
0.0016736842105263157,0.016421052631578947,10,0,10,0,0,1.0
0.0016736842105263157,0.01768421052631579,10,0,10,0,0,1.0
0.0016736842105263157,0.018947368421052633,10,0,10,0,0,1.0
0.0016736842105263157,0.020210526315789474,10,0,10,0,0,1.0
0.0016736842105263157,0.021473684210526315,10,0,10,0,0,1.0
0.0016736842105263157,0.02273684210526316,10,0,10,0,0,1.0
0.0016736842105263157,0.024,10,0,10,0,0,1.0
0.0032473684210526316,0.0,10,10,0,0,0,0.0
0.0032473684210526316,0.0012631578947368421,10,8,0,2,0,0.2
0.0032473684210526316,0.0025263157894736842,10,1,4,5,0,0.9
0.0032473684210526316,0.003789473684210526,10,0,10,0,0,1.0
0.0032473684210526316,0.0050526315789473685,10,0,10,0,0,1.0
0.0032473684210526316,0.00631578947368421,10,0,10,0,0,1.0
0.0032473684210526316,0.007578947368421052,10,0,10,0,0,1.0
0.0032473684210526316,0.008842105263157894,10,0,10,0,0,1.0
0.0032473684210526316,0.010105263157894737,10,0,10,0,0,1.0
0.0032473684210526316,0.01136842105263158,10,0,10,0,0,1.0
0.0032473684210526316,0.01263157894736842,10,0,10,0,0,1.0
0.0032473684210526316,0.013894736842105264,10,0,10,0,0,1.0
0.0032473684210526316,0.015157894736842105,10,0,10,0,0,1.0
0.0032473684210526316,0.016421052631578947,10,0,10,0,0,1.0
0.0032473684210526316,0.01768421052631579,10,0,10,0,0,1.0
0.0032473684210526316,0.018947368421052633,10,0,10,0,0,1.0
0.0032473684210526316,0.020210526315789474,10,0,10,0,0,1.0
0.0032473684210526316,0.021473684210526315,10,0,10,0,0,1.0
0.0032473684210526316,0.02273684210526316,10,0,10,0,0,1.0
0.0032473684210526316,0.024,10,0,10,0,0,1.0
0.004821052631578947,0.0,10,10,0,0,0,0.0
0.004821052631578947,0.0012631578947368421,10,10,0,0,0,0.0
0.004821052631578947,0.0025263157894736842,10,4,1,5,0,0.6
0.004821052631578947,0.003789473684210526,10,0,9,1,0,1.0
0.004821052631578947,0.0050526315789473685,10,0,10,0,0,1.0
0.004821052631578947,0.00631578947368421,10,0,9,1,0,1.0
0.004821052631578947,0.007578947368421052,10,0,10,0,0,1.0
0.004821052631578947,0.008842105263157894,10,0,10,0,0,1.0
0.004821052631578947,0.010105263157894737,10,0,10,0,0,1.0
0.004821052631578947,0.01136842105263158,10,0,10,0,0,1.0
0.004821052631578947,0.01263157894736842,10,0,10,0,0,1.0
0.004821052631578947,0.013894736842105264,10,0,10,0,0,1.0
0.004821052631578947,0.015157894736842105,10,0,10,0,0,1.0
0.004821052631578947,0.016421052631578947,10,0,10,0,0,1.0
0.004821052631578947,0.01768421052631579,10,0,10,0,0,1.0
0.004821052631578947,0.018947368421052633,10,0,10,0,0,1.0
0.004821052631578947,0.020210526315789474,10,0,10,0,0,1.0
0.004821052631578947,0.021473684210526315,10,0,10,0,0,1.0
0.004821052631578947,0.02273684210526316,10,0,10,0,0,1.0
0.004821052631578947,0.024,10,0,10,0,0,1.0
0.006394736842105263,0.0,10,10,0,0,0,0.0
0.006394736842105263,0.0012631578947368421,10,10,0,0,0,0.0
0.006394736842105263,0.0025263157894736842,10,4,0,6,0,0.6
0.006394736842105263,0.003789473684210526,10,1,9,0,0,0.9
0.006394736842105263,0.0050526315789473685,10,0,10,0,0,1.0
0.006394736842105263,0.00631578947368421,10,0,10,0,0,1.0
0.006394736842105263,0.007578947368421052,10,0,10,0,0,1.0
0.006394736842105263,0.008842105263157894,10,0,10,0,0,1.0
0.006394736842105263,0.010105263157894737,10,0,10,0,0,1.0
0.006394736842105263,0.01136842105263158,10,0,10,0,0,1.0
0.006394736842105263,0.01263157894736842,10,0,10,0,0,1.0
0.006394736842105263,0.013894736842105264,10,0,10,0,0,1.0
0.006394736842105263,0.015157894736842105,10,0,10,0,0,1.0
0.006394736842105263,0.016421052631578947,10,0,10,0,0,1.0
0.006394736842105263,0.01768421052631579,10,0,10,0,0,1.0
0.006394736842105263,0.018947368421052633,10,0,10,0,0,1.0
0.006394736842105263,0.020210526315789474,10,0,10,0,0,1.0
0.006394736842105263,0.021473684210526315,10,0,10,0,0,1.0
0.006394736842105263,0.02273684210526316,10,0,10,0,0,1.0
0.006394736842105263,0.024,10,0,10,0,0,1.0
0.00796842105263158,0.0,10,10,0,0,0,0.0
0.00796842105263158,0.0012631578947368421,10,10,0,0,0,0.0
0.00796842105263158,0.0025263157894736842,10,6,0,4,0,0.4
0.00796842105263158,0.003789473684210526,10,1,6,3,0,0.9
0.00796842105263158,0.0050526315789473685,10,0,10,0,0,1.0
0.00796842105263158,0.00631578947368421,10,0,10,0,0,1.0
0.00796842105263158,0.007578947368421052,10,0,10,0,0,1.0
0.00796842105263158,0.008842105263157894,10,0,10,0,0,1.0
0.00796842105263158,0.010105263157894737,10,0,10,0,0,1.0
0.00796842105263158,0.01136842105263158,10,0,10,0,0,1.0
0.00796842105263158,0.01263157894736842,10,0,10,0,0,1.0
0.00796842105263158,0.013894736842105264,10,0,10,0,0,1.0
0.00796842105263158,0.015157894736842105,10,0,10,0,0,1.0
0.00796842105263158,0.016421052631578947,10,0,10,0,0,1.0
0.00796842105263158,0.01768421052631579,10,0,10,0,0,1.0
0.00796842105263158,0.018947368421052633,10,0,10,0,0,1.0
0.00796842105263158,0.020210526315789474,10,0,10,0,0,1.0
0.00796842105263158,0.021473684210526315,10,0,10,0,0,1.0
0.00796842105263158,0.02273684210526316,10,0,10,0,0,1.0
0.00796842105263158,0.024,10,0,10,0,0,1.0
0.009542105263157895,0.0,10,10,0,0,0,0.0
0.009542105263157895,0.0012631578947368421,10,10,0,0,0,0.0
0.009542105263157895,0.0025263157894736842,10,9,0,1,0,0.1
0.009542105263157895,0.003789473684210526,10,5,0,5,0,0.5
0.009542105263157895,0.0050526315789473685,10,1,9,0,0,0.9
0.009542105263157895,0.00631578947368421,10,0,10,0,0,1.0
0.009542105263157895,0.007578947368421052,10,0,10,0,0,1.0
0.009542105263157895,0.008842105263157894,10,0,10,0,0,1.0
0.009542105263157895,0.010105263157894737,10,0,10,0,0,1.0
0.009542105263157895,0.01136842105263158,10,0,10,0,0,1.0
0.009542105263157895,0.01263157894736842,10,0,10,0,0,1.0
0.009542105263157895,0.013894736842105264,10,0,10,0,0,1.0
0.009542105263157895,0.015157894736842105,10,0,10,0,0,1.0
0.009542105263157895,0.016421052631578947,10,0,10,0,0,1.0
0.009542105263157895,0.01768421052631579,10,0,10,0,0,1.0
0.009542105263157895,0.018947368421052633,10,0,10,0,0,1.0
0.009542105263157895,0.020210526315789474,10,0,10,0,0,1.0
0.009542105263157895,0.021473684210526315,10,0,10,0,0,1.0
0.009542105263157895,0.02273684210526316,10,0,10,0,0,1.0
0.009542105263157895,0.024,10,0,10,0,0,1.0
0.01111578947368421,0.0,10,10,0,0,0,0.0
0.01111578947368421,0.0012631578947368421,10,10,0,0,0,0.0
0.01111578947368421,0.0025263157894736842,10,10,0,0,0,0.0
0.01111578947368421,0.003789473684210526,10,6,0,4,0,0.4
0.01111578947368421,0.0050526315789473685,10,1,8,1,0,0.9
0.01111578947368421,0.00631578947368421,10,0,10,0,0,1.0
0.01111578947368421,0.007578947368421052,10,0,10,0,0,1.0
0.01111578947368421,0.008842105263157894,10,0,10,0,0,1.0
