rmax,stable_dmu
0.16304347826086957,0.0007132446594238281
0.17608695652173914,0.001295490936279297
0.1891304347826087,0.001749569793701172
0.20217391304347826,0.002051068389892578
0.21521739130434783,0.002069378021240234
0.22826086956521738,0.0020669367370605464
0.24130434782608695,0.0020535096740722657
0.2543478260869565,0.002042523895263672
0.2673913043478261,0.002037641326904297
0.28043478260869564,0.0020278761901855466
0.29347826086956524,0.0020083459167480468
0.3065217391304348,0.001998580780029297
0.31956521739130433,0.0019851537170410155
0.33260869565217394,0.0019814917907714845
0.3456521739130435,0.001972947296142578
0.358695652173913,0.0019644028015136715
0.3717391304347826,0.0019546376647949218
0.3847826086956522,0.001939989959716797
0.3978260869565217,0.0019216803283691403
0.4108695652173913,0.0019253422546386717
0.42391304347826086,0.001915577117919922
0.4369565217391304,0.0019058119812011718
0.45,0.0018838404235839842
0.46304347826086956,0.0018801784973144532
0.47608695652173916,0.0018630895080566407
0.4891304347826087,0.001861868865966797
0.5021739130434782,0.0018582069396972656
0.5152173913043478,0.0018350147399902343
0.5282608695652173,0.001832573455810547
0.5413043478260869,0.0018264702453613282
0.5543478260869565,0.0018179257507324217
0.5673913043478261,0.0018044986877441406
0.5804347826086956,0.001792292266845703
0.5934782608695652,0.001792292266845703
0.6065217391304348,0.0017678794250488281
0.6195652173913043,0.001762996856689453
0.6326086956521739,0.0017556730041503907
0.6456521739130435,0.001749569793701172
0.658695652173913,0.0017446872253417968
0.6717391304347826,0.001728818878173828
0.6847826086956522,0.0017275982360839843
0.6978260869565217,0.001709288604736328
0.7108695652173913,0.0017080679626464844
0.7239130434782609,0.0016970821838378906
0.7369565217391304,0.001684875762939453
0.75,0.0016787725524902344
0.7630434782608696,0.0016702280578613283
0.7760869565217391,0.0016665661315917969
0.7891304347826087,0.0016543597106933594
0.8021739130434783,0.0016445945739746097
0.8152173913043478,0.0016360500793457032
0.8282608695652174,0.0016262849426269535
0.841304347826087,0.0016250643005371098
0.8543478260869565,0.0016104165954589846
0.8673913043478261,0.001601872100830078
0.8804347826086957,0.0015969895324707034
0.8934782608695652,0.001588445037841797
0.9065217391304348,0.0015762386169433595
0.9195652173913044,0.0015737973327636721
0.9326086956521739,0.0015628115539550783
0.9456521739130435,0.0015579289855957032
0.9586956521739131,0.0015506051330566408
0.9717391304347827,0.0015408399963378907
